t1,t2,t3,ds1,ds2,ds3,df1,df2,df3,PhaseNoise,QuantEff,Bandwidth,MaxCurrent,DecayTime
195,997,2000,8.00E+18,1.35E+15,1.00E+17,4.25E+17,2.25E+14,1.90E+17,-171.1220477,0.602703643,21.76964611,0.000437416,32.19044747
500,1015,1000,1.58E+18,1.34E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9404193,0.48940686,21.22220537,0.000462901,34.66559006
500,1016,1000,1.58E+18,1.33E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9415569,0.489552561,21.21929939,0.000463112,34.66559006
938,563,228,2.05E+18,2.37E+15,4.22E+17,6.49E+18,4.22E+15,2.37E+17,-166.1427486,0.209173625,13.74038746,0.000382551,59.08011618
193,982,1928,6.16E+18,1.05E+15,1.00E+17,9.32E+17,1.29E+14,2.51E+17,-171.1170952,0.592021894,21.81601835,0.000431839,32.19044747
198,970,2000,5.98E+18,1.00E+15,1.00E+17,5.60E+17,1.29E+14,3.00E+17,-171.1214425,0.595043573,21.82752794,0.000430536,32.19044747
502,973,1000,1.57E+18,1.53E+15,2.48E+17,1.80E+18,1.05E+15,1.67E+18,-170.877558,0.482510583,21.3261156,0.000453856,34.66559006
198,969,2000,6.02E+18,1.00E+15,1.00E+17,5.58E+17,1.28E+14,3.00E+17,-171.1208407,0.594862574,21.82850953,0.000430323,32.19044747
215,964,1489,2.85E+18,2.38E+15,5.04E+17,3.19E+17,3.35E+14,1.82E+17,-170.872631,0.558963653,21.63868579,0.000430407,34.66559006
504,1000,996,1.56E+18,1.39E+15,2.52E+17,1.79E+18,1.04E+15,1.67E+18,-170.917598,0.485940113,21.25752992,0.000459837,34.66559006
200,962,2000,6.06E+18,1.00E+15,1.00E+17,5.78E+17,1.22E+14,3.00E+17,-171.1168351,0.593360607,21.83455013,0.00042893,32.19044747
200,952,1802,7.65E+18,2.98E+15,1.37E+17,3.93E+17,2.73E+14,1.45E+17,-170.9861751,0.58162786,21.76653027,0.00042751,34.66559006
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
500,1015,1000,1.58E+18,1.34E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9404193,0.48940686,21.22220537,0.000462901,34.66559006
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
501,965,1000,1.57E+18,1.58E+15,2.46E+17,1.78E+18,9.85E+14,1.58E+18,-170.8655725,0.481478456,21.3454971,0.000452109,34.66559006
500,1016,1000,1.58E+18,1.33E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9415569,0.489552561,21.21929939,0.000463112,34.66559006
194,995,2000,8.00E+18,1.35E+15,1.00E+17,4.32E+17,2.27E+14,1.89E+17,-171.1200278,0.602182719,21.7741106,0.000436793,32.19044747
502,1003,1000,1.58E+18,1.39E+15,2.48E+17,1.77E+18,1.06E+15,1.68E+18,-170.9234125,0.487377329,21.25168596,0.000460468,34.66559006
642,961,948,2.03E+18,1.95E+15,2.18E+17,1.32E+18,3.76E+14,3.47E+18,-170.4049235,0.474189609,20.40672624,0.000469069,37.2706487
196,973,1964,5.88E+18,1.03E+15,1.08E+17,5.78E+17,1.31E+14,3.00E+17,-171.1035614,0.593453382,21.81695943,0.000430862,32.19044747
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.58E+17,1.28E+14,3.00E+17,-171.1217192,0.595088052,21.827512,0.000430559,32.19044747
200,970,1997,5.94E+18,1.00E+15,1.00E+17,5.65E+17,1.27E+14,3.00E+17,-171.1239714,0.594954464,21.8273334,0.000430799,32.19044747
500,1016,1000,1.58E+18,1.33E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9415569,0.489552561,21.21929939,0.000463112,34.66559006
198,964,2000,6.21E+18,1.04E+15,1.00E+17,5.65E+17,1.26E+14,3.00E+17,-171.1158666,0.593864791,21.83240595,0.000429207,32.19044747
500,1000,1000,1.58E+18,1.42E+15,2.50E+17,1.79E+18,1.08E+15,1.62E+18,-170.9209626,0.486895514,21.26578021,0.000459554,34.66559006
191,942,1719,2.09E+18,1.92E+15,1.43E+17,4.89E+17,4.05E+14,1.27E+17,-170.9215135,0.565397767,21.79812258,0.000419718,34.66559006
524,1105,1000,1.72E+18,1.77E+15,2.16E+17,1.90E+18,1.13E+15,2.22E+18,-170.870642,0.500145112,20.58731322,0.000483389,34.66559006
200,994,2000,8.00E+18,1.26E+15,1.00E+17,4.21E+17,2.23E+14,1.90E+17,-171.130859,0.602395309,21.77755695,0.000437464,32.19044747
138,994,1925,3.36E+18,1.15E+15,2.37E+17,8.60E+17,4.8E+14,1.99E+17,-170.8610504,0.587519713,21.66089549,0.000424841,34.66559006
199,970,1997,6.00E+18,1.00E+15,1.01E+17,5.63E+17,1.28E+14,3.00E+17,-171.1207552,0.594954617,21.82649079,0.000430687,32.19044747
500,1015,1000,1.58E+18,1.34E+15,2.47E+17,1.76E+18,1.06E+15,1.66E+18,-170.9399141,0.489330166,21.22210908,0.000462858,34.66559006
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
504,1025,1000,1.74E+18,1.78E+15,2.50E+17,1.92E+18,1.09E+15,1.86E+18,-170.9072516,0.490730767,21.10807616,0.000465376,34.66559006
200,970,1996,5.97E+18,1.00E+15,1.00E+17,5.65E+17,1.27E+14,3.00E+17,-171.1241669,0.594927064,21.82734587,0.000430813,32.19044747
200,964,1990,6.11E+18,1.01E+15,1.00E+17,5.83E+17,1.24E+14,3.00E+17,-171.1189627,0.593292752,21.83293591,0.000429413,32.19044747
500,1016,1000,1.58E+18,1.34E+15,2.48E+17,1.76E+18,1.06E+15,1.66E+18,-170.9403949,0.489474969,21.21795943,0.000463068,34.66559006
699,825,1000,1.53E+18,6.19E+14,1.87E+17,1.71E+18,7.83E+14,6.61E+18,-169.7470007,0.447484554,19.91922755,0.000440121,39.4752575
500,1005,1000,1.60E+18,1.42E+15,2.42E+17,1.78E+18,1.06E+15,1.70E+18,-170.9275071,0.487895568,21.2501813,0.000460753,34.66559006
200,988,1995,8.00E+18,1.91E+15,1.00E+17,4.34E+17,2.48E+14,1.75E+17,-171.1062192,0.600759525,21.76959769,0.00043604,32.19044747
196,999,1969,8.00E+18,1.52E+15,1.00E+17,4.81E+17,2.49E+14,1.74E+17,-171.1170821,0.601273042,21.76019685,0.000437911,32.19044747
198,970,1998,5.97E+18,1.00E+15,1.00E+17,5.61E+17,1.28E+14,3.00E+17,-171.1214373,0.594921249,21.82759115,0.000430528,32.19044747
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
193,963,1481,2.96E+18,2.33E+15,5.07E+17,3.13E+17,3.23E+14,1.78E+17,-170.8402716,0.557424104,21.64423532,0.000427004,34.66559006
198,970,1999,6.02E+18,1.00E+15,1.00E+17,5.58E+17,1.28E+14,3.00E+17,-171.1217415,0.595033557,21.82753361,0.000430559,32.19044747
500,1125,1000,1.73E+18,1.81E+15,2.51E+17,1.92E+18,1.09E+15,1.84E+18,-170.8693338,0.504240986,20.50320614,0.000485265,34.66559006
193,983,1973,7.82E+18,1.45E+15,1.00E+17,4.22E+17,2.33E+14,1.68E+17,-171.1082305,0.597927054,21.79321541,0.000433804,32.19044747
178,981,1909,5.59E+18,1.03E+15,1.00E+17,1.00E+18,1.29E+14,2.65E+17,-171.0904791,0.588709734,21.82087368,0.000428815,32.19044747
200,912,1794,5.68E+18,3.00E+15,1.00E+17,3.33E+17,5.43E+14,1.80E+17,-170.97829,0.570825856,21.83800499,0.000417166,32.19044747
500,1005,1000,1.60E+18,1.44E+15,2.44E+17,1.80E+18,1.08E+15,1.72E+18,-170.9254077,0.487741543,21.24789893,0.000460666,34.66559006
171,988,1970,5.92E+18,1.03E+15,1.09E+17,1.00E+18,1.25E+14,2.62E+17,-171.0672553,0.593679845,21.79877579,0.000429689,32.19044747
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
190,1047,1897,5.80E+18,1.16E+15,1.13E+17,9.52E+17,1E+14,1.98E+17,-171.0820694,0.603273759,21.61411411,0.000446152,34.66559006
1313,938,109,2.74E+18,4.22E+15,7.50E+18,2.74E+18,7.5E+14,4.22E+18,-167.4871554,0.235941306,15.53921818,0.000497694,63.46827692
184,907,1896,8.00E+18,1.12E+15,1.12E+17,1.00E+18,2.1E+14,2.29E+17,-170.9643026,0.573427167,21.85088141,0.000412947,32.19044747
500,983,1000,1.58E+18,1.63E+15,2.89E+17,2.09E+18,9.61E+14,1.53E+18,-170.8782661,0.482242199,21.29790188,0.000454744,34.66559006
194,966,1500,2.93E+18,2.51E+15,5.20E+17,3.24E+17,3.3E+14,1.84E+17,-170.8393028,0.559390509,21.62920015,0.000427795,34.66559006
196,1001,1987,7.94E+18,1.31E+15,1.00E+17,4.13E+17,2.29E+14,1.86E+17,-171.1251624,0.602909574,21.76166166,0.000438488,32.19044747
197,1045,1606,2.71E+18,1.03E+15,1.24E+17,4.54E+17,5.67E+14,2.06E+17,-170.596295,0.581305868,20.76617415,0.000446122,35.16205959
200,1007,1905,8.00E+18,1.70E+15,1.00E+17,4.58E+17,3.39E+14,1.77E+17,-171.1174494,0.5995454,21.73394306,0.000440357,32.19044747
200,988,1984,8.00E+18,1.91E+15,1.00E+17,4.34E+17,2.48E+14,1.75E+17,-171.1065484,0.600146284,21.77002514,0.000436037,32.19044747
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
350,1000,795,5.48E+17,7.07E+14,5.48E+17,5.48E+17,7.07E+14,5.48E+17,-170.9807144,0.466241993,21.59199988,0.000445392,34.66559006
